"FECHA,""Tipo de cambio - TC Interbancario (S/ por US$) - Venta"""
02Ene97,2.618
03Ene97,2.62
06Ene97,2.629
07Ene97,2.635
08Ene97,2.635
09Ene97,2.628
10Ene97,2.623
13Ene97,2.625
14Ene97,2.625
15Ene97,2.622
16Ene97,2.621
17Ene97,2.62
20Ene97,2.622
21Ene97,2.623
22Ene97,2.627
23Ene97,2.63
24Ene97,2.631
27Ene97,2.639
28Ene97,2.638
29Ene97,2.638
30Ene97,2.643
31Ene97,2.646
03Feb97,2.653
04Feb97,2.652
05Feb97,2.648
06Feb97,2.642
07Feb97,2.639
10Feb97,2.642
11Feb97,2.64
12Feb97,2.638
13Feb97,2.636
14Feb97,2.633
17Feb97,2.628
18Feb97,2.627
19Feb97,2.627
20Feb97,2.627
21Feb97,2.634
24Feb97,2.641
25Feb97,2.644
26Feb97,2.649
27Feb97,2.649
28Feb97,2.647
03Mar97,2.644
04Mar97,2.635
05Mar97,2.628
06Mar97,2.624
07Mar97,2.624
10Mar97,2.624
11Mar97,2.623
12Mar97,2.625
13Mar97,2.63
14Mar97,2.631
17Mar97,2.627
18Mar97,2.626
19Mar97,2.638
20Mar97,2.644
21Mar97,2.643
24Mar97,2.64
25Mar97,2.648
26Mar97,2.65
27Mar97,n.d.
28Mar97,n.d.
31Mar97,2.653
01Abr97,2.66
02Abr97,2.657
03Abr97,2.658
04Abr97,2.666
07Abr97,2.669
08Abr97,2.67
09Abr97,2.667
10Abr97,2.664
11Abr97,2.664
14Abr97,2.663
15Abr97,2.661
16Abr97,2.66
17Abr97,2.662
18Abr97,2.664
21Abr97,2.666
22Abr97,2.664
23Abr97,2.663
24Abr97,2.663
25Abr97,2.662
28Abr97,2.668
29Abr97,2.668
30Abr97,2.667
01May97,n.d.
02May97,2.666
05May97,2.669
06May97,2.665
07May97,2.664
08May97,2.664
09May97,2.668
12May97,2.672
13May97,2.67
14May97,2.665
15May97,2.662
16May97,2.662
19May97,2.661
20May97,2.66
21May97,2.665
22May97,2.667
23May97,2.666
26May97,2.664
27May97,2.664
28May97,2.664
29May97,2.667
30May97,2.668
02Jun97,2.666
03Jun97,2.661
04Jun97,2.66
05Jun97,2.662
06Jun97,2.66
09Jun97,2.662
10Jun97,2.661
11Jun97,2.661
12Jun97,2.66
13Jun97,2.66
16Jun97,2.659
17Jun97,2.656
18Jun97,2.655
19Jun97,2.651
20Jun97,2.65
23Jun97,2.654
24Jun97,2.653
